Date,Team,Acquired,Relinquished,Notes,TEAM_ABBREVIATION,player_name_clean,matched_name,PLAYER_ID,match_score
2020-03-03,Warriors,,Ky Bowman,placed on IL with sprained right ankle,GSW,Ky Bowman,Ky Bowman,1629065,100.0
2020-03-04,Bucks,,D.J. Wilson,placed on IL,MIL,D.J. Wilson,D.J. Wilson,1628391,100.0
2020-03-04,Bucks,,George Hill,placed on IL with groin injury,MIL,George Hill,George Hill,201588,100.0
2020-03-04,Celtics,,Jaylen Brown,placed on IL with strained right hamstring,BOS,Jaylen Brown,Jaylen Brown,1627759,100.0
2020-03-04,Knicks,,Mitchell Robinson,placed on IL with left hamstring injury,NYK,Mitchell Robinson,Mitchell Robinson,1629011,100.0
2020-03-04,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sore right ankle,DAL,J.J. Barea,J.J. Barea,200826,100.0
2020-03-04,Nets,,Garrett Temple,placed on IL with sprained left ankle,BKN,Garrett Temple,Garrett Temple,202066,100.0
2020-03-04,Pistons,,Bruce Brown,placed on IL with sore left knee,DET,Bruce Brown,Bruce Brown,1628971,100.0
2020-03-04,Pistons,,Derrick Rose,placed on IL with sprained right ankle (out for season),DET,Derrick Rose,Derrick Rose,201565,100.0
2020-03-05,Raptors,,Dewan Hernandez,placed on IL with sprained right ankle,TOR,Dewan Hernandez,Dewan Hernandez,1629608,100.0
2020-03-05,Warriors,,Kevon Looney,placed on IL with sore left hip,GSW,Kevon Looney,Kevon Looney,1626172,100.0
2020-03-06,Celtics,,Tremont Waters,placed on IL with sprained left knee,BOS,Tremont Waters,Tremont Waters,1629682,100.0
2020-03-06,Heat,,Gabe Vincent,placed on IL,MIA,Gabe Vincent,Gabe Vincent,1629216,100.0
2020-03-06,Magic,,Evan Fournier,placed on IL with sprained right elbow,ORL,Evan Fournier,Evan Fournier,203095,100.0
2020-03-06,Mavericks,,Dorian Finney-Smith,placed on IL with right hip injury,DAL,Dorian Finney-Smith,Dorian Finney-Smith,1627827,100.0
2020-03-06,Pacers,,Doug McDermott,placed on IL with toe injury,IND,Doug McDermott,Doug McDermott,203926,100.0
2020-03-06,Pacers,,Malcolm Brogdon,placed on IL with torn left quadriceps,IND,Malcolm Brogdon,Malcolm Brogdon,1627763,100.0
2020-03-06,Pacers,,T.J. Warren,placed on IL with left leg injury,IND,T.J. Warren,T.J. Warren,203933,100.0
2020-03-06,Pelicans,,J.J. Redick,placed on IL with strained left hamstring,NOP,J.J. Redick,JJ Redick,200755,90.0
2020-03-07,Nuggets,,Vlatko Cancar,placed on IL,DEN,Vlatko Čančar,Vlatko Čančar,1628427,100.0
2020-03-07,Rockets,,Eric Gordon,placed on IL with sore right knee,HOU,Eric Gordon,Eric Gordon,201569,100.0
2020-03-07,Warriors,,Draymond Green,placed on IL with sore left knee,GSW,Draymond Green,Draymond Green,203110,100.0
2020-03-08,Bucks,,Giannis Antetokounmpo,placed on IL with sprained left knee,MIL,Giannis Antetokounmpo,Giannis Antetokounmpo,203507,100.0
2020-03-08,Mavericks,,Seth Curry,placed on IL with sprained left ankle,DAL,Seth Curry,Seth Curry,203552,100.0
2020-03-08,Timberwolves,,Kelan Martin,placed on IL with sprained left ankle,MIN,Kelan Martin,Kelan Martin,1629103,100.0
2020-03-08,Wizards,,Anzejs Pasecniks,placed on IL with stiff neck,WAS,Anžejs Pasečņiks,Anžejs Pasečņiks,1628394,100.0
2020-03-08,Wizards,,Ishmael Smith / Ish Smith,placed on IL with left hamstring injury,WAS,Ish Smith,Ish Smith,202397,100.0
2020-03-09,Bucks,,Eric Bledsoe,placed on IL with right knee injury,MIL,Eric Bledsoe,Eric Bledsoe,202339,100.0
2020-03-09,Bucks,,George Hill,placed on IL with right adductor injury,MIL,George Hill,George Hill,201588,100.0
2020-03-10,Spurs,,Dejounte Murray,placed on IL with strained right calf,SAS,Dejounte Murray,Dejounte Murray,1627749,100.0
2020-03-10,Wizards,,Isaac Bonga,placed on IL with groin injury,WAS,Isaac Bonga,Isaac Bonga,1629067,100.0
2020-03-11,Heat,,Jimmy Butler,placed on IL with left big toe injury,MIA,Jimmy Butler III,Jimmy Butler III,202710,100.0
2020-03-11,Mavericks,,Dorian Finney-Smith,placed on IL with right hip injury,DAL,Dorian Finney-Smith,Dorian Finney-Smith,1627827,100.0
2020-03-11,Pistons,,John Henson,placed on IL with sprained left ankle (out for season),DET,John Henson,John Henson,203089,100.0
2020-07-30,Grizzlies,,Tyus Jones,placed on IL with sore right knee (out for season),MEM,Tyus Jones,Tyus Jones,1626145,100.0
2020-07-30,Spurs,,Bryn Forbes,placed on IL with right quadriceps injury (out for season),SAS,Bryn Forbes,Bryn Forbes,1627854,100.0
2020-07-31,Bucks,,Marvin Williams,placed on IL with strained left groin,MIL,Marvin Williams,Marvin Williams,101107,100.0
2020-07-31,Magic,,Wesley Iwundu / Wes Iwundu,placed on IL with stiff neck,ORL,Wes Iwundu,Wes Iwundu,1628411,100.0
2020-07-31,Nets,,Nicolas Claxton / Nic Claxton,placed on IL recovering from surgery on shoulder (out for season),BKN,Nic Claxton,Nic Claxton,1629651,100.0
2020-07-31,Nets,,Wilson Chandler,placed on IL (out for season),BKN,Wilson Chandler,Wilson Chandler,201163,100.0
2020-07-31,Nuggets,,Gary Harris,placed on IL with strained right hip,DEN,Gary Harris,Gary Harris,203914,100.0
2020-07-31,Nuggets,,Will Barton,placed on IL with sore right knee (out for season),DEN,Will Barton,Will Barton,203115,100.0
2020-07-31,Pacers,,Domantas Sabonis,placed on IL with left foot injury (out for season),IND,Domantas Sabonis,Domantas Sabonis,1627734,100.0
2020-07-31,Rockets,,Bruno Caboclo,placed on IL with sprained right ankle,HOU,Bruno Caboclo,Bruno Caboclo,203998,100.0
2020-07-31,Rockets,,Eric Gordon,placed on IL with sprained left ankle,HOU,Eric Gordon,Eric Gordon,201569,100.0
2020-08-01,76ers,,(James) Mike Scott,placed on IL with sore right knee,PHI,Mike Scott,Mike Scott,203118,100.0
2020-08-01,76ers,,Glenn Robinson III,placed on IL with left hip pointer,PHI,Glenn Robinson III,Glenn Robinson III,203922,100.0
2020-08-01,Heat,,Gabe Vincent,placed on IL,MIA,Gabe Vincent,Gabe Vincent,1629216,100.0
2020-08-01,Heat,,K.Z. Okpala,placed on IL with Achilles injury,MIA,K.Z. Okpala,KZ Okpala,1629644,90.0
2020-08-01,Nuggets,,Jamal Murray,placed on IL with left hamstring injury,DEN,Jamal Murray,Jamal Murray,1627750,100.0
2020-08-01,Pacers,,Malcolm Brogdon,placed on IL with cervical strain,IND,Malcolm Brogdon,Malcolm Brogdon,1627763,100.0
2020-08-01,Raptors,,Oshae Brissett,placed on IL with sore right knee,TOR,Oshae Brissett,Oshae Brissett,1629052,100.0
2020-08-01,Raptors,,Patrick McCaw,placed on IL with sore left knee (out for season),TOR,Patrick McCaw,Patrick McCaw,1627775,100.0
2020-08-02,Spurs,,Marco Belinelli,placed on IL with sprained left foot,SAS,Marco Belinelli,Marco Belinelli,201158,100.0
2020-08-03,Bucks,,Wesley Matthews,placed on IL with right calf injury,MIL,Wesley Matthews,Wesley Matthews,202083,100.0
2020-08-03,Thunder,,Terrance Ferguson,placed on IL with lower leg injury,OKC,Terrance Ferguson,Terrance Ferguson,1628390,100.0
2020-08-04,Heat,,Jimmy Butler,placed on IL with sore right ankle,MIA,Jimmy Butler III,Jimmy Butler III,202710,100.0
2020-08-04,Jazz,,Nigel Williams-Goss,placed on IL with sprained left ankle,UTA,Nigel Williams-Goss,Nigel Williams-Goss,1628430,100.0
2020-08-04,Magic,,Jonathan Isaac,placed on IL with torn ACL in left knee (out for season),ORL,Jonathan Isaac,Jonathan Isaac,1628371,100.0
2020-08-04,Mavericks,,Seth Curry,placed on IL with right leg injury,DAL,Seth Curry,Seth Curry,203552,100.0
2020-08-05,Clippers,,Patrick Beverley,placed on IL with strained left calf,LAC,Patrick Beverley,Patrick Beverley,201976,100.0
2020-08-05,Grizzlies,,Jaren Jackson Jr.,placed on IL with torn meniscus in left knee (out for season),MEM,Jaren Jackson Jr.,Jaren Jackson Jr.,1628991,100.0
2020-08-05,Lakers,,Dwight Howard,placed on IL with sore right knee,LAL,Dwight Howard,Dwight Howard,2730,100.0
2020-08-05,Magic,,Michael Carter-Williams,placed on IL with left foot injury (out for season),ORL,Michael Carter-Williams,Michael Carter-Williams,203487,100.0
2020-08-05,Nets,,Jamal Crawford,placed on IL with strained left hamstring (out for season),BKN,Jamal Crawford,Jamal Crawford,2037,100.0
2020-08-05,Suns,,Elie Okobo,placed on IL with sprained right ankle,PHX,Elie Okobo,Elie Okobo,1629059,100.0
